function,taylor
exp(x) - 4,x**4/24 + x**3/6 + x**2/2 + x - 3
cos(x) + 4,x**4/24 - x**2/2 + 5
-2*x,-2*x
2*x - 5,2*x - 5
-exp(x) - 5,-x**4/24 - x**3/6 - x**2/2 - x - 6
x,x
x*cos(x),-x**3/2 + x
4,4
x*(x - 1),x*(x - 1)
5*x,5*x
cos(x),x**4/24 - x**2/2 + 1
4,4
x + sin(x),x*(12 - x**2)/6
x - 2*sin(x) + 3,x**3/3 - x + 3
9,9
exp(x) + sin(x),x**4/24 + x**2/2 + 2*x + 1
4,4
-x - 3*cos(x) + 5,-x**4/8 + 3*x**2/2 - x + 2
x*(sin(x) + 2),x*(-x**3 + 6*x + 12)/6
4*sin(x),2*x*(6 - x**2)/3
x + cos(x) + 8,x**4/24 - x**2/2 + x + 9
3*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 4*x + 1
-1,-1
-4*x,-4*x
3*x + exp(x),x**4/24 + x**3/6 + x**2/2 + 4*x + 1
x + cos(x),x**4/24 - x**2/2 + x + 1
-2*x + cos(x),x**4/24 - x**2/2 - 2*x + 1
1 - 2*x,1 - 2*x
exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
x + exp(x) + sin(x) + 4,x**4/24 + x**2/2 + 3*x + 5
exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
3*exp(2*x),2*x**4 + 4*x**3 + 6*x**2 + 6*x + 3
2*cos(x),x**4/12 - x**2 + 2
-x + 4*sin(x) + 1,-2*x**3/3 + 3*x + 1
-x*exp(x) - x + exp(x),-x**4/8 - x**3/3 - x**2/2 - x + 1
exp(x)*sin(x),x*(x**2/3 + x + 1)
x*(1 - x),x*(1 - x)
-x + sqrt(2)*sin(x + pi/4) - 5,x**4/24 - x**3/6 - x**2/2 - 4
-x + cos(x),x**4/24 - x**2/2 - x + 1
sin(x) - 2,-x**3/6 + x - 2
exp(x)*sin(x) - 5,x**3/3 + x**2 + x - 5
2*x + cos(x),x**4/24 - x**2/2 + 2*x + 1
exp(x) - sin(2*x)/2,x**4/24 + 5*x**3/6 + x**2/2 + 1
-x + exp(x) + sin(x) + 1,x**4/24 + x**2/2 + x + 2
x*sin(x),-x**4/6 + x**2
sin(x) + sin(2*x)/2 - 1,-5*x**3/6 + 2*x - 1
-x + 6*cos(x),x**4/4 - 3*x**2 - x + 6
x*sin(x) - 2,-x**4/6 + x**2 - 2
sin(x) + 3,-x**3/6 + x + 3
2*sin(x),x*(6 - x**2)/3
exp(x) - 5,x**4/24 + x**3/6 + x**2/2 + x - 4
x + 3*sin(x),x*(8 - x**2)/2
2*x - exp(x),-x**4/24 - x**3/6 - x**2/2 + x - 1
x + exp(x) - 3,x**4/24 + x**3/6 + x**2/2 + 2*x - 2
-x - cos(x) + 3,-x**4/24 + x**2/2 - x + 2
-x + sin(x) + 3,3 - x**3/6
x + cos(x) + 3,x**4/24 - x**2/2 + x + 4
-x + 2*exp(x) + cos(x),x**4/8 + x**3/3 + x**2/2 + x + 3
x + 3,x + 3
x + sin(x),x*(12 - x**2)/6
21,21
(x + sin(x))*sin(x),x**2*(4 - x**2)/2
x + sin(x),x*(12 - x**2)/6
3 - sin(x),x**3/6 - x + 3
x - 5,x - 5
1 - sin(x),x**3/6 - x + 1
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
sin(x) + 5,-x**3/6 + x + 5
2*x - 2,2*x - 2
x**2 + x + 4,x**2 + x + 4
5*x + 4,5*x + 4
4*x*sin(x),2*x**2*(6 - x**2)/3
x + exp(x) - sqrt(2)*sin(x + pi/4),x*(x**2/3 + x + 1)
x**3 + x,x**3 + x
-2*x,-2*x
x + 2*cos(x) + 4,x**4/12 - x**2 + x + 6
4*x,4*x
cos(x) - 2,x**4/24 - x**2/2 - 1
10,10
-x + exp(x) + 3,x**4/24 + x**3/6 + x**2/2 + 4
x**2 + exp(x) + sin(x),x**4/24 + 3*x**2/2 + 2*x + 1
2*x,2*x
x + sqrt(2)*sin(x + pi/4) + 1,x**4/24 - x**3/6 - x**2/2 + 2*x + 2
x + cos(x) + 3,x**4/24 - x**2/2 + x + 4
5 - 4*exp(x),-x**4/6 - 2*x**3/3 - 2*x**2 - 4*x + 1
x*cos(x),-x**3/2 + x
x + sin(x) - 2,-x**3/6 + 2*x - 2
-x + cos(x),x**4/24 - x**2/2 - x + 1
9 - x,9 - x
3*sin(x),x*(6 - x**2)/2
x + 11,x + 11
2*x + exp(2*x),2*x**4/3 + 4*x**3/3 + 2*x**2 + 4*x + 1
x*exp(x) + sin(x),x*(x**3 + 2*x**2 + 6*x + 12)/6
(exp(x) + 1)*sin(x),x*(x**2 + 6*x + 12)/6
-x - sin(x),x*(x**2 - 12)/6
x - sin(x) + 1,x**3/6 + 1
x*exp(x) + 1,x**4/6 + x**3/2 + x**2 + x + 1
x + 3,x + 3
2*sin(x) - 5,-x**3/3 + 2*x - 5
exp(x) + 3,x**4/24 + x**3/6 + x**2/2 + x + 4
exp(x) + cos(x),x**4/12 + x**3/6 + x + 2
1,1
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
-2,-2
2*x,2*x
x - sin(2*x)/2,2*x**3/3
-x - exp(x) + 5,-x**4/24 - x**3/6 - x**2/2 - 2*x + 4
sin(x) + 12,-x**3/6 + x + 12
2*x**2 + 2,2*x**2 + 2
x*sin(x)**2,x**3
3*x + sin(x),x*(24 - x**2)/6
x + exp(x) + 3,x**4/24 + x**3/6 + x**2/2 + 2*x + 4
x**2 + x + sin(x),x*(-x**2 + 6*x + 12)/6
5*sin(x),5*x*(6 - x**2)/6
(x**2 + 1)*exp(x),13*x**4/24 + 7*x**3/6 + 3*x**2/2 + x + 1
2*x + sin(x),x*(18 - x**2)/6
-5*exp(x)*sin(x) + 2,-5*x**3/3 - 5*x**2 - 5*x + 2
x*(x + 1),x*(x + 1)
exp(x) + 3,x**4/24 + x**3/6 + x**2/2 + x + 4
5*x - exp(x) + sin(x),-x**4/24 - x**3/3 - x**2/2 + 5*x - 1
x + 2,x + 2
2 - 2*x,2 - 2*x
sin(x) + 1,-x**3/6 + x + 1
4,4
exp(x) + cos(x) - 9,x**4/12 + x**3/6 + x - 7
exp(x) + cos(x) + 2,x**4/12 + x**3/6 + x + 4
-x**2,-x**2
x*cos(x) + sin(x),2*x*(3 - x**2)/3
-9,-9
-x*cos(x) + exp(x) - 3,x**4/24 + 2*x**3/3 + x**2/2 - 2
x*(x - sin(x)),x**4/6
3*exp(x) - 1,x**4/8 + x**3/2 + 3*x**2/2 + 3*x + 2
x**2 - 5,x**2 - 5
0,0
sin(x),-x**3/6 + x
x - 2,x - 2
2*x + sqrt(2)*sin(x + pi/4),x**4/24 - x**3/6 - x**2/2 + 3*x + 1
-exp(x) + cos(x),-x*(x**2/6 + x + 1)
x + 4*sin(x) - 4,-2*x**3/3 + 5*x - 4
4*sin(x) + 4,-2*x**3/3 + 4*x + 4
4*x - exp(2*x),-2*x**4/3 - 4*x**3/3 - 2*x**2 + 2*x - 1
x - sin(x) - 3,x**3/6 - 3
4*x,4*x
x - exp(x) + 12,-x**4/24 - x**3/6 - x**2/2 + 11
2*x + sin(x),x*(18 - x**2)/6
5*x - 3,5*x - 3
-x*cos(x) + x - 2,x**3/2 - 2
exp(x) + 2,x**4/24 + x**3/6 + x**2/2 + x + 3
4*x + exp(x) - 2,x**4/24 + x**3/6 + x**2/2 + 5*x - 1
-x + exp(x)*sin(x) - 5,x**3/3 + x**2 - 5
x*cos(x) + x - cos(x),-x**4/24 - x**3/2 + x**2/2 + 2*x - 1
5 - x,5 - x
2*cos(x),x**4/12 - x**2 + 2
4,4
5,5
x*cos(x),-x**3/2 + x
x + 1,x + 1
x + cos(x),x**4/24 - x**2/2 + x + 1
exp(x)*cos(x),-x**4/6 - x**3/3 + x + 1
x - 4*sin(x),x*(2*x**2 - 9)/3
5 - 5*x**2,5 - 5*x**2
x*cos(x),-x**3/2 + x
x - 3,x - 3
2*x**2*sin(x),2*x**3
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
cos(x),x**4/24 - x**2/2 + 1
x*sin(x) + x + exp(x),-x**4/8 + x**3/6 + 3*x**2/2 + 2*x + 1
x*cos(x),-x**3/2 + x
x + cos(x) + 10,x**4/24 - x**2/2 + x + 11
2*x,2*x
5*x - 4,5*x - 4
exp(x) - 1,x*(x**3 + 4*x**2 + 12*x + 24)/24
x + 5*exp(x)*cos(x),-5*x**4/6 - 5*x**3/3 + 6*x + 5
2*x,2*x
exp(x) - 3,x**4/24 + x**3/6 + x**2/2 + x - 2
2*x + cos(x),x**4/24 - x**2/2 + 2*x + 1
x*cos(x) + 4,-x**3/2 + x + 4
-exp(x) + cos(x),-x*(x**2/6 + x + 1)
cos(x) - 4,x**4/24 - x**2/2 - 3
5 - cos(x),-x**4/24 + x**2/2 + 4
-exp(x) - 1,-x**4/24 - x**3/6 - x**2/2 - x - 2
exp(2*x) + sin(x),2*x**4/3 + 7*x**3/6 + 2*x**2 + 3*x + 1
-x - sin(x) + 1,x**3/6 - 2*x + 1
12,12
2,2
-x + cos(x),x**4/24 - x**2/2 - x + 1
3*cos(x) - 3,x**2*(x**2 - 12)/8
x + sin(x) + 3,-x**3/6 + 2*x + 3
5*x*exp(x),5*x*(x**3 + 3*x**2 + 6*x + 6)/6
4,4
-exp(x)*cos(x) + sin(x) + 5,x**4/6 + x**3/6 + 4
x*cos(x),-x**3/2 + x
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
exp(x) - 2,x**4/24 + x**3/6 + x**2/2 + x - 1
x + 6,x + 6
x + 2*sin(x),x*(9 - x**2)/3
-x*sin(x) - x + sin(x),x**2*(x**2 - x - 6)/6
6 - cos(x),-x**4/24 + x**2/2 + 5
x + exp(2*x) + 2,2*x**4/3 + 4*x**3/3 + 2*x**2 + 3*x + 3
x + 40,x + 40
sin(x)*cos(x)**2,-7*x**3/6 + x
-4*sin(x) + cos(x),x**4/24 + 2*x**3/3 - x**2/2 - 4*x + 1
3*exp(x),x**4/8 + x**3/2 + 3*x**2/2 + 3*x + 3
x*cos(x) + 4,-x**3/2 + x + 4
exp(x) + cos(x)**2 - 4,3*x**4/8 + x**3/6 - x**2/2 + x - 2
2*x + 2,2*x + 2
5 - x,5 - x
exp(x) + 5*cos(x),x**4/4 + x**3/6 - 2*x**2 + x + 6
-x**2 + exp(x),x**4/24 + x**3/6 - x**2/2 + x + 1
x + 4,x + 4
(3*sin(x) + 1)*cos(x),x**4/24 - 2*x**3 - x**2/2 + 3*x + 1
x - exp(x) + 7,-x**4/24 - x**3/6 - x**2/2 + 6
-exp(x) + cos(x) - 4,-x**3/6 - x**2 - x - 4
exp(x) + cos(x) + 1,x**4/12 + x**3/6 + x + 3
3,3
-x + cos(x),x**4/24 - x**2/2 - x + 1
-x + exp(x) + 4,x**4/24 + x**3/6 + x**2/2 + 5
2 - x,2 - x
x*sin(x) - 5,-x**4/6 + x**2 - 5
x*exp(2*x),x*(4*x**3 + 6*x**2 + 6*x + 3)/3
x*(4 - x),x*(4 - x)
2*cos(x),x**4/12 - x**2 + 2
exp(x) - 5*cos(x) + 1,-x**4/6 + x**3/6 + 3*x**2 + x - 3
4*x,4*x
x*(1 - cos(x)),x**3/2
x - 2,x - 2
sin(x) - cos(x),-x**4/24 - x**3/6 + x**2/2 + x - 1
sin(x) + cos(x),x**4/24 - x**3/6 - x**2/2 + x + 1
-x - cos(x) + 4,-x**4/24 + x**2/2 - x + 3
-x + exp(x),x**4/24 + x**3/6 + x**2/2 + 1
x*(2 - x),x*(2 - x)
x**2 + cos(x)**2,x**4/3 + 1
x + sin(x),x*(12 - x**2)/6
x - 3,x - 3
-x + exp(x) - cos(x) + 4,x**3/6 + x**2 + 4
x*exp(x) - 5*sin(x),x*(x**3 + 8*x**2 + 6*x - 24)/6
1,1
sin(x) + cos(x) - 3,x**4/24 - x**3/6 - x**2/2 + x - 2
x,x
7 - sin(x),x**3/6 - x + 7
x**2 + exp(x) + 2,x**4/24 + x**3/6 + 3*x**2/2 + x + 3
x**2,x**2
cos(x) - 4,x**4/24 - x**2/2 - 3
6*x - cos(x),-x**4/24 + x**2/2 + 6*x - 1
x + sin(x) + cos(x),x**4/24 - x**3/6 - x**2/2 + 2*x + 1
exp(x) + sin(x),x**4/24 + x**2/2 + 2*x + 1
x + cos(x) + 3,x**4/24 - x**2/2 + x + 4
2*x - 1,2*x - 1
-x + exp(x) + 4,x**4/24 + x**3/6 + x**2/2 + 5
-x + cos(x),x**4/24 - x**2/2 - x + 1
x + cos(x) + 3,x**4/24 - x**2/2 + x + 4
8,8
-x - exp(x) + 2,-x**4/24 - x**3/6 - x**2/2 - 2*x + 1
x + 1,x + 1
cos(x) - 1,x**2*(x**2 - 12)/24
5,5
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
x - sin(x),x**3/6
x - 5,x - 5
6*exp(x),x**4/4 + x**3 + 3*x**2 + 6*x + 6
2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
x - 3*sin(x) + 1,x**3/2 - 2*x + 1
-x*sin(x) + 4,x**4/6 - x**2 + 4
16*x,16*x
13,13
x + exp(x) + cos(x) - 3,x**4/12 + x**3/6 + 2*x - 1
sin(x) - 3,-x**3/6 + x - 3
4*x - cos(x),-x**4/24 + x**2/2 + 4*x - 1
x - exp(x) + 4,-x**4/24 - x**3/6 - x**2/2 + 3
x*sin(x) - 4,-x**4/6 + x**2 - 4
x - 4,x - 4
x*(sin(x) + 1),x*(-x**3/6 + x + 1)
3*exp(x) + cos(x),x**4/6 + x**3/2 + x**2 + 3*x + 4
x**2*exp(x),x**2*(x**2/2 + x + 1)
2*x,2*x
cos(x) - 4,x**4/24 - x**2/2 - 3
10*exp(x)*sin(x),10*x*(x**2 + 3*x + 3)/3
60,60
exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
-x + 5*exp(x),5*x**4/24 + 5*x**3/6 + 5*x**2/2 + 4*x + 5
x + 3*exp(x),x**4/8 + x**3/2 + 3*x**2/2 + 4*x + 3
-x + 4*sin(x),x*(9 - 2*x**2)/3
x - sin(x) - 4,x**3/6 - 4
2*cos(x),x**4/12 - x**2 + 2
-x**2 + x - exp(x),-x**4/24 - x**3/6 - 3*x**2/2 - 1
3 - 4*cos(x),-x**4/6 + 2*x**2 - 1
2*exp(x) + 7,x**4/12 + x**3/3 + x**2 + 2*x + 9
5*sin(x),5*x*(6 - x**2)/6
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
4*x,4*x
2*x - sin(x)**2,x*(x**3 - 3*x + 6)/3
x - cos(x),-x**4/24 + x**2/2 + x - 1
6*exp(x) - 1,x**4/4 + x**3 + 3*x**2 + 6*x + 5
-x*exp(x) + 5,-x**4/6 - x**3/2 - x**2 - x + 5
x + 4,x + 4
exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
2*x*cos(x) + sin(x),x*(18 - 7*x**2)/6
2,2
cos(x) + 5,x**4/24 - x**2/2 + 6
exp(x)*cos(x) + exp(x) + cos(x),-x**4/12 - x**3/6 + 2*x + 3
9,9
2*cos(x),x**4/12 - x**2 + 2
x - 2,x - 2
cos(x) - 6,x**4/24 - x**2/2 - 5
9,9
exp(x) - sin(x),x**4/24 + x**3/3 + x**2/2 + 1
x*sin(x) + exp(x),-x**4/8 + x**3/6 + 3*x**2/2 + x + 1
x - sin(x),x**3/6
5*x*sin(x),5*x**2*(6 - x**2)/6
7,7
x*(1 - sin(x)),x*(x**3/6 - x + 1)
x - 2,x - 2
2*cos(x),x**4/12 - x**2 + 2
-x**2 + sin(x) - 5,-x**3/6 - x**2 + x - 5
sin(x) - cos(x),-x**4/24 - x**3/6 + x**2/2 + x - 1
4,4
x*exp(x)*cos(x),x*(-x**3/3 + x + 1)
-x + sin(x),-x**3/6
-2,-2
3 - x,3 - x
2*x,2*x
5*cos(x),5*x**4/24 - 5*x**2/2 + 5
x + exp(x) + sin(x),x**4/24 + x**2/2 + 3*x + 1
x + exp(x) + cos(x)**2,3*x**4/8 + x**3/6 - x**2/2 + 2*x + 2
x,x
exp(x) - 4,x**4/24 + x**3/6 + x**2/2 + x - 3
3*cos(x),x**4/8 - 3*x**2/2 + 3
sin(x),-x**3/6 + x
x + cos(x),x**4/24 - x**2/2 + x + 1
12,12
0,0
-x**2 + sin(x) + 5,-x**3/6 - x**2 + x + 5
x*(cos(x) + 2),x*(6 - x**2)/2
x*sin(x) - x + exp(x),-x**4/8 + x**3/6 + 3*x**2/2 + 1
x*(x + 1),x*(x + 1)
x + 3,x + 3
exp(x)*cos(x) + sin(x),-x**4/6 - x**3/2 + 2*x + 1
x**2 + 1,x**2 + 1
2*x + cos(x),x**4/24 - x**2/2 + 2*x + 1
x + sin(x),x*(12 - x**2)/6
x**2 + 3,x**2 + 3
-x + 4*cos(x) - 3,x**4/6 - 2*x**2 - x + 1
20*x,20*x
(5 - x)*cos(x),5*x**4/24 + x**3/2 - 5*x**2/2 - x + 5
x**2 + exp(x),x**4/24 + x**3/6 + 3*x**2/2 + x + 1
x*cos(x),-x**3/2 + x
x + 5,x + 5
x - 4,x - 4
5*cos(x) + 1,5*x**4/24 - 5*x**2/2 + 6
x + exp(x) + 5,x**4/24 + x**3/6 + x**2/2 + 2*x + 6
x + cos(x) + 2,x**4/24 - x**2/2 + x + 3
x,x
5,5
x + cos(x),x**4/24 - x**2/2 + x + 1
x - cos(x) + 4,-x**4/24 + x**2/2 + x + 3
3*sin(x),x*(6 - x**2)/2
x + exp(x) + sin(x),x**4/24 + x**2/2 + 3*x + 1
x*sin(x),-x**4/6 + x**2
sin(x),-x**3/6 + x
9 - x**2,9 - x**2
x + exp(x),x**4/24 + x**3/6 + x**2/2 + 2*x + 1
x + exp(x) + 1,x**4/24 + x**3/6 + x**2/2 + 2*x + 2
-x + exp(x),x**4/24 + x**3/6 + x**2/2 + 1
exp(x) + 1,x**4/24 + x**3/6 + x**2/2 + x + 2
4*x - 2,4*x - 2
-x*cos(x),x**3/2 - x
x + 1,x + 1
2*x + 3,2*x + 3
-x + sin(x),-x**3/6
x*exp(x)*cos(x) + sin(x),x*(-2*x**3 - x**2 + 6*x + 12)/6
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
-x + sin(x) - cos(x) - 3,-x**4/24 - x**3/6 + x**2/2 - 4
2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
2*x - 1,2*x - 1
x*sin(x) + exp(x) + 2,-x**4/8 + x**3/6 + 3*x**2/2 + x + 3
x + 5*cos(x),5*x**4/24 - 5*x**2/2 + x + 5
x + 2,x + 2
0,0
x*sin(x),-x**4/6 + x**2
x + 9,x + 9
0,0
x - cos(x),-x**4/24 + x**2/2 + x - 1
exp(x) + 4,x**4/24 + x**3/6 + x**2/2 + x + 5
x - 10,x - 10
-x + cos(x) + 3,x**4/24 - x**2/2 - x + 4
x*exp(x),x*(x**3/6 + x**2/2 + x + 1)
x*sin(x),-x**4/6 + x**2
-x*cos(x) - sin(x) + 2,2*x**3/3 - 2*x + 2
5*x - exp(x) + 4,-x**4/24 - x**3/6 - x**2/2 + 4*x + 3
3*cos(x) - 2,x**4/8 - 3*x**2/2 + 1
x + sin(x) + cos(x),x**4/24 - x**3/6 - x**2/2 + 2*x + 1
cos(x),x**4/24 - x**2/2 + 1
-x + sin(x),-x**3/6
x*sin(x),-x**4/6 + x**2
x + 2,x + 2
3,3
x + exp(x) - cos(x) - 1,x**3/6 + x**2 + 2*x - 1
3*x + sin(x),x*(24 - x**2)/6
x + sin(x),x*(12 - x**2)/6
sin(x),-x**3/6 + x
2*x + 2*cos(x),x**4/12 - x**2 + 2*x + 2
-x - exp(x) + cos(x),x*(-x**2 - 6*x - 12)/6
0,0
x + 2,x + 2
x**2,x**2
